,id,identifier,formula,polar_spg
0,66338edeb66c0740a5940792,mp-1226055,CsW3Br7,P31c
1,66338edeb66c0740a594079a,mp-1220062,P3Pb5BrO12,P6_3
2,66338edeb66c0740a594079e,mp-569854,Ga3Bi5Cl12,R3c
3,66338edfb66c0740a59407ba,mp-556719,K2Ti(SiO3)3,R3
4,66338edfb66c0740a59407be,mp-975103,RbMgPO4,Pna2_1
5,66338ee0b66c0740a59407ca,mp-1226195,Cs3H(SeO4)2,Cc
6,66338ee1b66c0740a59407ea,mp-542613,GeS2,Fdd2
7,66338ef3b66c0740a59407ee,mp-20546,Ba2In2O5,Ima2
8,66338ef4b66c0740a59407fa,mp-752676,TiBi2O5,Cmc2_1
9,66338ef4b66c0740a59407fe,mp-5854,LiGaO2,Pna2_1
10,66338ef4b66c0740a594080a,mp-1020712,ZnSiN2,Pna2_1
11,66338ef4b66c0740a594080e,mp-18938,Tl2MoO4,C2
12,66338ef5b66c0740a5940832,mp-31053,Ag2S,P2_1
13,66338ef5b66c0740a5940836,mp-1068340,CsGeBr3,R3m
14,66338ef5b66c0740a594083a,mp-804,GaN,P6_3mc
15,66338ef8b66c0740a594086e,mp-17864,BaNa(B3O5)3,R3c
16,66338ef8b66c0740a5940876,mp-18460,K2Si6GeO15,Cc
17,66338ef9b66c0740a594088e,mp-1223690,KAgSnSe3,P4cc
18,66338efbb66c0740a59408ba,mp-1218554,Sr7Y6OF30,R3
19,66338efdb66c0740a59408f2,mp-1214215,Ca11AlSb9,Iba2
20,66338f00b66c0740a594093a,mp-1223401,KNb4AsO13,Cmc2_1
21,66338f00b66c0740a594093e,mp-766341,NaSb5O13,Ama2
22,66338f01b66c0740a5940952,mp-1226414,Cs3H(SF6)2,Pba2
23,66338f01b66c0740a594095e,mp-554787,RbMoIO6,Pna2_1
24,66338f01b66c0740a594096a,mp-773066,KTa2PO8,R3
25,66338f02b66c0740a5940976,mp-1224229,K10Zn4Sn4S17,R3m
26,66338f02b66c0740a5940982,mp-974650,Re2S2O13,Pba2
27,66338f03b66c0740a594098a,mp-1244815,TaTi(PO4)3,R3c
28,66338f04b66c0740a59409b6,mp-29839,Bi2SeO5,Aem2
29,66338f05b66c0740a59409ba,mp-1225967,CsPSe6,Pc
30,66338f05b66c0740a59409c6,mp-1208048,TlVSeO5,Pna2_1
31,66338f06b66c0740a59409d6,mp-753546,Li8TiS6,P6_3cm
32,66338f06b66c0740a59409e6,mp-9711,Ba2Si5N8,Pmn2_1
33,66338f07b66c0740a59409fe,mp-541291,Na3MoN3,Cc
34,66338f07b66c0740a5940a06,mp-1209324,RbBePO4,Pna2_1
35,66338f08b66c0740a5940a16,mp-557855,CaGaBO4,Ccc2
36,66338f08b66c0740a5940a1e,mp-18168,TlZnPO4,P2_1
37,66338f09b66c0740a5940a2a,mp-644097,BaAlH5,Pna2_1
38,66338f09b66c0740a5940a2e,mp-558807,ZnAgPS4,Pna2_1
39,66338f09b66c0740a5940a32,mp-23614,SrNb2Bi2O9,Cmc2_1
40,66338f0ab66c0740a5940a56,mp-23400,In(IO3)3,P6_3
41,66338f0cb66c0740a5940a86,mp-27755,KAlCl4,P2_1
42,66338f0db66c0740a5940aa2,mp-570838,CdHg4(AsI2)2,P2_1
43,66338f0db66c0740a5940aa6,mp-555218,Ba4Br6O,P6_3mc
44,66338f0db66c0740a5940aaa,mp-23063,Ba4Cl6O,P6_3mc
45,66338f0db66c0740a5940aae,mp-1224198,K4Ba2SnBi4,Cm
46,66338f0db66c0740a5940ab2,mp-1224114,K4Ba2SnP4,Cc
47,66338f0db66c0740a5940aba,mp-1192126,Zn2TeMoO7,P2_1
48,66338f0eb66c0740a5940ac2,mp-10096,Na3Sr3GaP4,P6_3mc
49,66338f0eb66c0740a5940ace,mp-41095,Na3Sr3AlP4,P6_3mc
50,66338f11b66c0740a5940b2a,mp-23326,Ca4Cl6O,P6_3mc
51,66338f11b66c0740a5940b3a,mp-1221156,Na4Sr2TiAs4,Cc
52,66338f12b66c0740a5940b56,mp-554381,Ca2VBiO6,Cmc2_1
53,66338f12b66c0740a5940b5e,mp-27277,PCl3O,Pna2_1
54,66338f13b66c0740a5940b62,mp-1207861,VCd2BiO6,Cmc2_1
55,66338f13b66c0740a5940b72,mp-1205304,TiI2O7,Cmc2_1
56,66338f1c5e0d7b8300877ed8,mp-1214020,Ca4YB3O10,Cm
57,66338f1d5e0d7b8300877ee4,mp-1105202,Ba2InBiSe5,Cmc2_1
58,66338f1d5e0d7b8300877eec,mp-685991,Li5SiP3,Cc
59,66338f1e5e0d7b8300877f10,mp-556489,Ta2SnO6,Cc
60,66338f205e0d7b8300877f4c,mp-557414,BaSi6N8O,Imm2
61,66338f205e0d7b8300877f54,mp-34292,Tl9SbTe6,I4
62,66338f205e0d7b8300877f58,mp-30159,AuBrF6,P2_1
63,66338f205e0d7b8300877f5c,mp-2979,ZnGeN2,Pna2_1
64,66338f215e0d7b8300877f6c,mp-15573,Tl3AsO4,P6_3
65,66338f215e0d7b8300877f7c,mp-11738,Na3PS3O,Cmc2_1
66,66338f215e0d7b8300877f80,mp-1106310,Cu2SiHgS4,Pmn2_1
67,66338f215e0d7b8300877f84,mp-7688,Li2CdGeO4,Pmn2_1
68,66338f225e0d7b8300877f98,mp-3647,LiGaS2,Pna2_1
69,66338f235e0d7b8300877fcc,mp-19219,Li3VO4,Pmn2_1
70,66338f245e0d7b8300877fe0,mp-7117,LiAlSe2,Pna2_1
71,66338f245e0d7b8300877fe4,mp-5709,Tl3PO4,P6_3
72,66338f255e0d7b8300877ffc,mp-1189383,Li2CdGeS4,Pmn2_1
73,66338f255e0d7b830087800c,mp-1106183,LiAlS2,Pna2_1
74,66338f255e0d7b8300878010,mp-1029932,LiVN2,Pna2_1
75,66338f255e0d7b8300878014,mp-1029633,CaSnN2,Pna2_1
76,66338f265e0d7b8300878030,mp-12177,Te2O5,P2_1
77,66338f265e0d7b8300878034,mp-557632,K2LiBO3,C2
78,66338f275e0d7b8300878040,mp-1103709,Rb2Cd(IBr)2,Ama2
79,66338f275e0d7b830087804c,mp-561446,BaCa(GaO2)4,Imm2
80,66338f285e0d7b8300878078,mp-18953,NaV(OF)2,P2_1
81,66338f285e0d7b830087807c,mp-1219595,RbHgSbTe3,Cmc2_1
82,66338f285e0d7b8300878084,mp-1180208,NF2,P1
83,66338f295e0d7b8300878098,mp-570506,ZrI2,Pmn2_1
84,66338f295e0d7b830087809c,mp-5012,Li2SiO3,Cmc2_1
85,66338f295e0d7b83008780a4,mp-1213763,ClF5,Cmc2_1
86,66338f295e0d7b83008780ac,mp-15349,Li2GeO3,Cmc2_1
87,66338f2a5e0d7b83008780b4,mp-1029404,KGe2N3,Cmc2_1
88,66338f2a5e0d7b83008780c4,mp-1226202,Cs2CaP2O7,Cm
89,66338f2a5e0d7b83008780d4,mp-753798,Rb2SnO3,Cmc2_1
90,66338f2b5e0d7b83008780dc,mp-5853,LiSi2N3,Cmc2_1
91,66338f2b5e0d7b83008780e0,mp-1539101,TeSeO4,Ima2
92,66338f2b5e0d7b83008780ec,mp-1029387,TaZn2N3,Cmc2_1
93,66338f2b5e0d7b83008780f0,mp-1029368,Mg2VN3,Cmc2_1
94,66338f2c5e0d7b8300878100,mp-34579,Na3HfF7,Cm
95,66338f2c5e0d7b8300878110,mp-1227442,Be2BH3O5,P1
96,66338f2c5e0d7b830087811c,mp-552185,AgNO3,R3c
97,66338f2d5e0d7b8300878128,mp-998611,RbSnCl3,R3c
98,66338f2d5e0d7b8300878130,mp-1095180,Ca2CdAs2,Cmc2_1
99,66338f2d5e0d7b8300878148,mp-4497,Si2N2O,Cmc2_1
100,66338f2e5e0d7b8300878158,mp-28369,GeH3Cl,Cmc2_1
101,66338f2e5e0d7b830087815c,mp-13868,PdF4,Fdd2
102,66338f2e5e0d7b8300878164,mp-1223469,KLiZn3O4,Cm
103,66338f2f5e0d7b8300878178,mp-27529,PI3,P6_3
104,66338f2f5e0d7b830087817c,mp-28099,SBr,Aea2
105,66338f2f5e0d7b8300878188,mp-1880,SbF3,Ama2
106,66338f305e0d7b830087819c,mp-23292,HgBr2,Cmc2_1
107,66338f305e0d7b83008781a8,mp-28872,RbBrO3,R3m
108,66338f305e0d7b83008781ac,mp-22958,KBrO3,R3m
109,66338f305e0d7b83008781b0,mp-28377,CsGeI3,R3m
110,66338f305e0d7b83008781b4,mp-980057,SrAlGeH,P3m1
111,66338f305e0d7b83008781b8,mp-1014244,ZrZnN2,P3m1
112,66338f325e0d7b83008781dc,mp-560376,RbV2I3O13,Ima2
113,66338f325e0d7b83008781ec,mp-1197203,CdAg2GeS4,Pna2_1
114,66338f335e0d7b8300878200,mp-1220774,Na5SrTaP4,Cc
115,66338f345e0d7b8300878228,mp-571288,KTa(AgSe2)2,Ama2
116,66338f365e0d7b830087825c,mp-15998,RbV(CuS2)2,Ama2
117,66338f365e0d7b8300878264,mp-1271278,Zn3SbN3,Cm
118,66338f365e0d7b8300878268,mp-2452,P2O5,Fdd2
119,66338f365e0d7b8300878274,mp-3228,HgSO4,Pmn2_1
120,66338f375e0d7b8300878284,mp-6215,AgHgAsS3,Cc
121,66338f375e0d7b8300878288,mp-1225880,CsTaSe3,P6_3mc
122,66338f375e0d7b830087828c,mp-1225870,CsTaS3,P6_3mc
123,66338f375e0d7b8300878298,mp-1220452,NbCu3(SeS)2,Cmm2
124,66338f375e0d7b830087829c,mp-1175,SrS3,Aea2
125,66338f385e0d7b83008782b4,mp-27193,RbIO3,R3m
126,66338f385e0d7b83008782c0,mp-1018094,BaGaSnH,P3m1
127,66338f395e0d7b83008782d8,mp-23162,ZrCl2,R3m
128,66338eddb66c0740a5940782,mp-1198841,NbBi4BrO8,Pna2_1
129,66338edeb66c0740a594078e,mp-13979,Ca2Nb2O7,P2_1
130,66338edeb66c0740a5940796,mp-1228113,Ba5P3O12F,P6_3
131,66338edeb66c0740a59407a2,mp-560578,RbTeNO3F4,P1
132,66338edfb66c0740a59407a6,mp-27384,AgIO3,Pca2_1
133,66338edfb66c0740a59407b2,mp-23064,Bi2MoO6,Pca2_1
134,66338ee0b66c0740a59407c2,mp-672289,Ge3N4,P31c
135,66338ee0b66c0740a59407da,mp-570370,SnPSe3,Pc
136,66338ee1b66c0740a59407de,mp-13923,SnPS3,Pc
137,66338ef4b66c0740a59407f6,mp-755436,Na3VO4,Pmn2_1
138,66338ef4b66c0740a5940812,mp-1228828,AsHPbO4,Pc
139,66338ef6b66c0740a594084e,mp-1207844,Y3TlF10,P6_3mc
140,66338ef6b66c0740a5940852,mp-771185,K2Ge2O5,Cc
141,66338ef7b66c0740a5940862,mp-555095,Ba5Re3NO18,P6_3cm
142,66338ef8b66c0740a594087a,mp-645375,ZnBi6P2O15,C2
143,66338ef9b66c0740a594088a,mp-2414,SO3,Pna2_1
144,66338efab66c0740a594089a,mp-1020106,LiB(SO4)2,Pc
145,66338efab66c0740a594089e,mp-557836,Na5B2P3O13,P2_1
146,66338efab66c0740a59408b2,mp-1178731,YB6(HO4)3,R3c
147,66338efbb66c0740a59408b6,mp-644827,TePCl9,Ima2
148,66338efbb66c0740a59408be,mp-1201143,AsClOF8,Pna2_1
149,66338efbb66c0740a59408c6,mp-662547,PSeCl9,Ima2
150,66338efbb66c0740a59408ca,mp-560407,KNbSi2O7,P4bm
151,66338efcb66c0740a59408d2,mp-23544,Bi4Br2O5,P2_1
152,66338efcb66c0740a59408e2,mp-1227203,Ca5As3ClO12,P6_3
153,66338effb66c0740a5940922,mp-1118943,Cs3Re2N5,I4_1
154,66338effb66c0740a594092a,mp-569512,SbICl8,P4_1
155,66338f00b66c0740a5940942,mp-1218587,Sr4Te3(ClO2)4,C2
156,66338f00b66c0740a594094a,mp-558215,Bi10(MoO8)3,C2
157,66338f01b66c0740a594094e,mp-14280,Ga2Sn2S5,Pna2_1
158,66338f01b66c0740a5940956,mp-1198721,Rb2Mo3SeO12,P6_3
159,66338f02b66c0740a594096e,mp-28680,KGaBr4,R3c
160,66338f03b66c0740a5940992,mp-775198,Ti3P6WO24,R3
161,66338f03b66c0740a5940996,mp-1228614,Ba2Ag8S7,Pmn2_1
162,66338f04b66c0740a59409a2,mp-505321,CsNb(CuTe2)2,Pna2_1
163,66338f04b66c0740a59409b2,mp-626256,H3NO4,Pna2_1
164,66338f05b66c0740a59409ca,mp-1207671,YAgS2,P2_1
165,66338f06b66c0740a59409e2,mp-625378,NaH9O5,C2
166,66338f07b66c0740a59409f2,mp-18115,K2Sn2Hg3S8,Aea2
167,66338f08b66c0740a5940a12,mp-559759,CaAlBO4,Ccc2
168,66338f08b66c0740a5940a1a,mp-27573,NaSb3F10,P6_3
169,66338f08b66c0740a5940a22,mp-28471,Li3AsS3,Pna2_1
170,66338f0ab66c0740a5940a46,mp-555903,Al(IO3)3,P6_3
171,66338f0ab66c0740a5940a52,mp-561104,Ga(IO3)3,P6_3
172,66338f0ab66c0740a5940a5a,mp-1227524,BaTi(IO3)6,R3
173,66338f0bb66c0740a5940a5e,mp-6289,Ba2Ti(GeO4)2,P4bm
174,66338f0bb66c0740a5940a6a,mp-31408,Al4(B2O5)3,R3
175,66338f0bb66c0740a5940a72,mp-9747,B4PbO7,Pmn2_1
176,66338f0cb66c0740a5940a7e,mp-8258,BaAl4S7,Pmn2_1
177,66338f0cb66c0740a5940a9a,mp-1191266,BiIO4,Pca2_1
178,66338f0db66c0740a5940a9e,mp-675101,Ca5NbN5,Cm
179,66338f0db66c0740a5940ab6,mp-1214910,Al2CdBr8,Pc
180,66338f0eb66c0740a5940aca,mp-625151,H7ClO3,Cc
181,66338f0eb66c0740a5940ad2,mp-3870,Sr2Nb2O7,Cmc2_1
182,66338f0fb66c0740a5940ae2,mp-1190339,Na3Ca3AlSb4,P6_3mc
183,66338f0fb66c0740a5940aee,mp-10097,Na3Sr3GaAs4,P6_3mc
184,66338f10b66c0740a5940b06,mp-15572,Na3Ca3AlAs4,P6_3mc
185,66338f10b66c0740a5940b12,mp-1209286,Rb6CdO4,P6_3mc
186,66338f10b66c0740a5940b16,mp-1191333,Zn2MoSeO7,P2_1
187,66338f10b66c0740a5940b1e,mp-1190842,Rb6HgS4,P6_3mc
188,66338f11b66c0740a5940b26,mp-35799,Hf2Bi2O7,C2
189,66338f11b66c0740a5940b2e,mp-23321,Sr4Cl6O,P6_3mc
190,66338f12b66c0740a5940b5a,mp-28558,RbGeBr3,Pna2_1
191,66338f14b66c0740a5940b82,mp-29033,P3BrCl14,I4
192,66338f1c5e0d7b8300877ed0,mp-23407,Hg(IO3)2,P2_1
193,66338f1d5e0d7b8300877edc,mp-1209465,Rb2Mo(OF2)2,Ama2
194,66338f1d5e0d7b8300877ef0,mp-557441,KAu(IO3)4,P1
195,66338f1d5e0d7b8300877ef8,mp-23376,GaSeBr7,Pc
196,66338f1d5e0d7b8300877efc,mp-1223905,K2Ti(TeO4)3,C2
197,66338f1e5e0d7b8300877f18,mp-14168,K2GeF6,P6_3mc
198,66338f1e5e0d7b8300877f1c,mp-1224602,H9Au(ClO)4,P1
199,66338f1f5e0d7b8300877f30,mp-13703,Al4CO4,Cmc2_1
200,66338f1f5e0d7b8300877f3c,mp-1189339,Ba2InSbSe5,Cmc2_1
201,66338f205e0d7b8300877f44,mp-9066,NaLi2AsO4,Pmn2_1
202,66338f215e0d7b8300877f78,mp-1210002,NaNbS6,Cc
203,66338f215e0d7b8300877f88,mp-6955,KGeNO,Pca2_1
204,66338f225e0d7b8300877f8c,mp-6449,CdCu2SiS4,Pmn2_1
205,66338f225e0d7b8300877f94,mp-542136,Na3PSO3,R3c
206,66338f225e0d7b8300877fa4,mp-1188784,Li2CdSnS4,Pmn2_1
207,66338f225e0d7b8300877fa8,mp-1016108,TiZnN2,Pna2_1
208,66338f225e0d7b8300877fac,mp-9197,Li3AsO4,Pmn2_1
209,66338f235e0d7b8300877fb0,mp-7798,MgGeN2,Pna2_1
210,66338f235e0d7b8300877fbc,mp-6356,Cd2GaAgS4,Pmn2_1
211,66338f235e0d7b8300877fc8,mp-27935,AlICl6,P2_1
212,66338f235e0d7b8300877fd0,mp-1246430,Zn3MoN4,Pmn2_1
213,66338f245e0d7b8300877fd4,mp-1019550,BeGeN2,Pna2_1
214,66338f245e0d7b8300877ff4,mp-28027,AsF3,Pna2_1
215,66338f255e0d7b8300877ff8,mp-13725,Li3PO4,Pmn2_1
216,66338f255e0d7b8300878004,mp-1188392,LiInS2,Pna2_1
217,66338f265e0d7b8300878020,mp-567771,Ba(Si3N4)2,Imm2
218,66338f265e0d7b830087802c,mp-1220802,NaHSeO4,P1
219,66338f275e0d7b8300878058,mp-38487,Li7BiO6,P1
220,66338f285e0d7b8300878074,mp-29515,PH2F3,Cmc2_1
221,66338f285e0d7b8300878080,mp-1212662,GaClO,Pca2_1
222,66338f2a5e0d7b83008780b8,mp-3933,Mg2PN3,Cmc2_1
223,66338f2a5e0d7b83008780bc,mp-3881,BaZnF4,Cmc2_1
224,66338f2a5e0d7b83008780c8,mp-1029442,Mg2TaN3,Cmc2_1
225,66338f2a5e0d7b83008780cc,mp-1020059,LiGe2N3,Cmc2_1
226,66338f2b5e0d7b83008780e4,mp-14433,NaGe2N3,Cmc2_1
227,66338f2b5e0d7b83008780e8,mp-1029418,KSi2N3,Cmc2_1
228,66338f2c5e0d7b8300878104,mp-550925,NaScAs2O7,C2
229,66338f2d5e0d7b8300878124,mp-1079666,Ba2CdAs2,Cmc2_1
230,66338f2d5e0d7b830087812c,mp-539,Ga2S3,Cc
231,66338f2d5e0d7b8300878134,mp-1079600,Cs2S3,Cmc2_1
232,66338f2d5e0d7b830087813c,mp-867203,Sr2CdAs2,Cmc2_1
233,66338f2d5e0d7b8300878140,mp-7447,Rb2Se3,Cmc2_1
234,66338f2e5e0d7b8300878154,mp-3666,LiTaO3,R3c
235,66338f2f5e0d7b8300878174,mp-549720,NbI2O,C2
236,66338f2f5e0d7b8300878180,mp-23297,BrF3,Cmc2_1
237,66338f305e0d7b8300878198,mp-545359,KNa2CuO2,I4mm
238,66338f315e0d7b83008781c0,mp-2542,BeO,P6_3mc
239,66338f315e0d7b83008781c4,mp-1014251,HfZnN2,P3m1
240,66338f315e0d7b83008781cc,mp-984519,NaAsSe2,Pc
241,66338f315e0d7b83008781d4,mp-22981,TlIO3,R3m
242,66338f325e0d7b83008781e0,mp-27465,S8O,Pca2_1
243,66338f325e0d7b83008781f8,mp-628643,CuAsPbS3,Pmn2_1
244,66338f335e0d7b8300878210,mp-1221206,Na4Ca2SiAs4,Cc
245,66338f345e0d7b8300878220,mp-23360,Zn(IO3)2,P2_1
246,66338f345e0d7b8300878224,mp-14444,Hf(PS3)2,Fdd2
247,66338f345e0d7b830087822c,mp-3934,Cu3PS4,Pmn2_1
248,66338f345e0d7b8300878230,mp-1106233,KNb(CuS2)2,Ama2
249,66338f355e0d7b8300878250,mp-1188827,MgCu2SiSe4,Pmn2_1
250,66338f355e0d7b8300878254,mp-1029469,ZnSnN2,Pna2_1
251,66338f365e0d7b830087826c,mp-1103730,Na4Mg(GeSe3)2,C2
252,66338f375e0d7b8300878290,mp-27253,Au2O3,Fdd2
253,66338f375e0d7b83008782a0,mp-1080747,ScAlCO,P6_3mc
254,66338f385e0d7b83008782c4,mp-570485,SrAlSiH,P3m1
255,66338f395e0d7b83008782d4,mp-9813,WS2,R3m
256,66338eddb66c0740a594077e,mp-27017,LiSnPO4,Pna2_1
257,66338edfb66c0740a59407aa,mp-16956,Na3Sc2(PO4)3,Cc
258,66338edfb66c0740a59407ae,mp-558930,Zn(PO3)2,Cc
